회사명,거래소코드,회계년도,[제조]   이자비용
(유)아웃백스테이크하우스코리아,041907,2004/12,1860011
(주)GF스튜디오,030403,2004/12,412827
(주)GF스튜디오,030403,2005/12,634452
(주)KRGSOFT,056737,2008/12,122171
(주)KRGSOFT,056737,2009/12,207167
(주)KRGSOFT,056737,2010/12,201498
(주)KRGSOFT,056737,2011/12,268991
(주)KRGSOFT,056737,2012/12,238932
(주)KRGSOFT,056737,2013/12,204318
(주)KRGSOFT,056737,2014/12,193841
(주)LG파워콤,021438,2001/12,31243168
(주)LG파워콤,021438,2002/12,29595151
(주)LG파워콤,021438,2003/12,30448821
(주)LG파워콤,021438,2004/12,21542410
(주)LG파워콤,021438,2005/12,22483553
(주)LG파워콤,021438,2006/12,22221153
(주)LG파워콤,021438,2007/12,25485551
(주)LG파워콤,021438,2008/12,39024406
(주)LG파워콤,021438,2009/12,46828814
(주)SC유나이티드,038630,2002/12,339657
(주)SC유나이티드,038630,2003/12,255452
(주)SC유나이티드,038630,2004/12,19258
(주)SC유나이티드,038630,2005/12,32842
(주)SC유나이티드,038630,2011/12,11400
(주)SC유나이티드,038630,2017/12,90214
(주)가민정보시스템,030633,2002/12,24313
(주)가민정보시스템,030633,2003/12,33176
(주)가민정보시스템,030633,2004/12,27923
(주)가브린트,082823,2016/12,0
(주)가브린트,082823,2017/12,11512
(주)가비아,042778,2004/12,15746
(주)가야미디어,012820,2002/12,161844
(주)가야미디어,012820,2003/12,100958
(주)가야미디어,012820,2008/12,24185
(주)가야미디어,012820,2011/12,82
(주)가야미디어,012820,2012/12,213061
(주)가야미디어,012820,2013/12,179629
(주)가야미디어,012820,2014/12,116838
(주)가야미디어,012820,2015/12,77711
(주)가야미디어,012820,2016/12,74436
(주)가야미디어,012820,2017/12,136538
(주)가치네트,012368,2001/12,0
(주)가치네트,012368,2002/12,12580
(주)가치네트,012368,2003/12,0
(주)가치네트,012368,2004/12,0
(주)가치네트,012368,2005/12,0
(주)가치네트,012368,2006/12,0
(주)가치네트,012368,2007/12,0
(주)가치네트,012368,2008/12,0
(주)가치네트,012368,2009/12,0
(주)가톨릭신문사,067410,2012/12,0
(주)가톨릭신문사,067410,2013/12,0
(주)가톨릭신문사,067410,2014/12,0
(주)가톨릭신문사,067410,2017/12,0
(주)갈라랩,057481,2009/03,0
(주)갈라랩,057481,2010/03,0
(주)갈라랩,057481,2011/03,86829
(주)갈라랩,057481,2012/03,196423
(주)갈라랩,057481,2013/03,221206
(주)갑우문화사,040815,2004/12,30612
(주)갑우문화사,040815,2005/12,50688
(주)갑우문화사,040815,2006/12,134738
(주)갑우문화사,040815,2007/12,381640
(주)갑우문화사,040815,2008/12,325282
(주)갑우문화사,040815,2009/12,263085
(주)갑우문화사,040815,2010/12,257778
(주)갑우문화사,040815,2011/12,236263
(주)갑우문화사,040815,2012/12,183975
(주)갑우문화사,040815,2013/12,112100
(주)갑우문화사,040815,2014/12,101009
(주)갑우문화사,040815,2015/12,79239
(주)갑우문화사,040815,2016/12,77441
(주)갑우문화사,040815,2017/12,139159
(주)강원도민일보,017428,2001/12,144466
(주)강원도민일보,017428,2002/12,135555
(주)강원도민일보,017428,2003/12,146230
(주)강원도민일보,017428,2004/12,147852
(주)강원도민일보,017428,2005/12,104140
(주)강원도민일보,017428,2006/12,115317
(주)강원도민일보,017428,2007/12,135647
(주)강원도민일보,017428,2008/12,147994
(주)강제규필름,011702,2001/12,29521
(주)강제규필름,011702,2002/12,44842
(주)강제규필름,011702,2003/12,228360
(주)강제규필름,011702,2004/12,417126
(주)개념원리,041998,2004/12,4821
(주)개념원리,041998,2005/12,0
(주)개념원리,041998,2006/12,0
(주)개념원리,041998,2007/12,0
(주)개념원리,041998,2008/12,0
(주)개념원리,041998,2009/12,0
(주)개념원리,041998,2010/12,0
(주)개념원리,041998,2011/12,0
(주)개념원리,041998,2012/12,0
(주)개념원리,041998,2013/12,0
(주)개념원리,041998,2014/12,0
(주)개념원리,041998,2015/12,0
(주)개념원리,041998,2016/12,0
(주)개념원리,041998,2017/12,170036
(주)거촌,079451,2015/12,132803
(주)거촌,079451,2016/12,104902
(주)거촌,079451,2017/12,116868
(주)건설기계인,078962,2015/12,0
(주)건설기계인,078962,2016/12,67198
(주)게임빌,046981,2004/12,87106
(주)게임빌,046981,2005/12,20225
(주)게임빌,046981,2006/12,23450
(주)게임빌,046981,2007/12,68189
(주)게임빌,046981,2008/12,94998
(주)게임펍,085928,2017/12,0
(주)게토코리아,028377,2001/12,254582
(주)게토코리아,028377,2003/06,379376
(주)겜채널,040604,2004/12,9534
(주)경봉,052673,2007/12,83935
(주)경봉,052673,2008/12,253786
(주)경봉,052673,2009/12,383234
(주)경봉,052673,2010/12,276165
(주)경인방송,021849,2001/12,3809686
(주)경인방송,021849,2002/12,750644
(주)경인방송,021849,2003/12,268099
(주)경인일보,012960,2001/12,155900
(주)경인일보,012960,2002/12,99156
(주)경인일보,012960,2003/12,88479
(주)경인일보,012960,2004/12,52090
(주)경인일보,012960,2005/12,72551
(주)경인일보,012960,2006/12,138124
(주)경인일보,012960,2007/12,203749
(주)경인일보,012960,2008/12,410720
(주)경인일보,012960,2009/12,447761
(주)경인일보,012960,2010/12,423188
(주)경인일보,012960,2011/12,374188
(주)경인일보,012960,2012/12,34202
(주)경인일보,012960,2013/12,199765
(주)경인일보,012960,2014/12,808099
(주)경인일보,012960,2015/12,717426
(주)경인일보,012960,2016/12,616353
(주)경인일보,012960,2017/12,539832
(주)경풍약품,021868,2006/06,0
(주)경풍약품,021868,2007/06,0
(주)경풍약품,021868,2008/06,0
(주)경풍약품,021868,2009/06,0
(주)경풍약품,021868,2010/06,0
(주)경풍약품,021868,2011/06,0
(주)경풍약품,021868,2012/06,0
(주)경풍약품,021868,2013/06,0
(주)경풍약품,021868,2014/06,0
(주)경풍약품,021868,2015/06,0
(주)경풍약품,021868,2016/06,0
(주)경풍약품,021868,2017/06,0
(주)경향닷컴,020810,2002/03,208103
(주)경향닷컴,020810,2003/03,262542
(주)경향닷컴,020810,2004/03,287158
(주)경향닷컴,020810,2005/03,206333
(주)경향닷컴,020810,2006/03,205942
(주)경향닷컴,020810,2007/03,265962
(주)경향닷컴,020810,2008/03,268398
(주)경향미디어그룹,029579,2002/12,441096
(주)경향미디어그룹,029579,2003/12,1106065
(주)경향신문사,012983,2001/03,11963330
(주)경향신문사,012983,2002/03,11740591
(주)경향신문사,012983,2003/03,16418480
(주)경향신문사,012983,2004/03,9024323
(주)경향신문사,012983,2005/03,9881635
(주)경향신문사,012983,2006/03,10793759
(주)경향신문사,012983,2007/03,16178988
(주)경향신문사,012983,2008/03,11357484
(주)경향신문사,012983,2009/03,13319511
(주)경향신문사,012983,2010/03,21136032
(주)경향신문사,012983,2011/03,16883865
(주)경향신문사,012983,2012/03,15086531
(주)경향신문사,012983,2013/12,9955977
(주)경향신문사,012983,2014/12,6831510
(주)경향신문사,012983,2015/12,6339080
(주)경향신문사,012983,2016/12,1745272
(주)경향신문사,012983,2017/12,1228646
(주)경희매니지먼트컴퍼니,051743,2007/12,366193
(주)경희매니지먼트컴퍼니,051743,2008/12,950813
(주)경희매니지먼트컴퍼니,051743,2009/12,0
(주)경희매니지먼트컴퍼니,051743,2010/12,0
(주)경희매니지먼트컴퍼니,051743,2011/12,0
(주)경희매니지먼트컴퍼니,051743,2012/12,72443
(주)경희매니지먼트컴퍼니,051743,2013/12,587210
(주)경희매니지먼트컴퍼니,051743,2014/12,168968
(주)골든벨코리아,040326,2002/12,0
(주)골든벨코리아,040326,2003/12,234
(주)골든썸픽쳐스,072438,2014/12,0
(주)골든썸픽쳐스,072438,2015/12,13593
(주)골든썸픽쳐스,072438,2016/12,41205
(주)골든프레임,048530,2007/12,339927
(주)골프존,051698,2007/12,4
(주)골프존,051698,2008/12,566
(주)골프존,051698,2009/12,217
(주)골프존,051698,2010/12,0
(주)공게임즈,084753,2017/12,8723
(주)공차코리아,069177,2013/12,48760
(주)공차코리아,069177,2014/12,24675
(주)공차코리아,069177,2015/12,18157
(주)공차코리아,069177,2016/12,13449
(주)공차코리아,069177,2017/12,1149247
(주)관악도서유통,044642,2005/12,84277
(주)관악도서유통,044642,2012/12,165042
(주)관악도서유통,044642,2013/12,158828
(주)관악도서유통,044642,2014/12,142409
(주)관악도서유통,044642,2015/12,108975
(주)관악케이블TV방송,048584,2007/12,0
(주)관악케이블TV방송,048584,2008/12,0
(주)광주문화콘텐츠투자법인,062984,2011/12,116260
(주)광주문화콘텐츠투자법인,062984,2012/12,149426
(주)광주싸이더스씨앤아이,053537,2007/12,321842
(주)광주싸이더스씨앤아이,053537,2008/12,1066649
(주)광주싸이더스씨앤아이,053537,2009/12,721735
(주)광주타임즈신문사,044654,2005/12,114711
(주)교원,013107,2001/12,526
(주)교원,013107,2002/12,732
(주)교원,013107,2003/12,441
(주)교원,013107,2004/12,0
(주)교원교육,013108,2001/12,0
(주)교원교육,013108,2002/12,630
(주)교원교육,013108,2003/12,0
(주)교원교육,013108,2004/12,0
(주)교원프라퍼티,013041,2001/12,0
(주)교원프라퍼티,013041,2002/12,0
(주)교원프라퍼티,013041,2003/12,0
(주)교원프라퍼티,013041,2004/12,0
(주)교원프라퍼티,013041,2005/12,0
(주)교원프라퍼티,013041,2006/12,0
(주)교원프라퍼티,013041,2007/12,0
(주)교원프라퍼티,013041,2008/12,253890
(주)교원프라퍼티,013041,2009/12,618505
(주)교원프라퍼티,013041,2010/12,0
(주)교원프라퍼티,013041,2011/12,0
(주)교원프라퍼티,013041,2012/12,0
(주)교원프라퍼티,013041,2013/12,0
(주)교원프라퍼티,013041,2014/12,0
(주)교원프라퍼티,013041,2015/12,3807
(주)교원프라퍼티,013041,2016/12,0
(주)교원프라퍼티,013041,2017/12,0
(주)구름컴퍼니,071176,2014/12,0
(주)국도타운,029875,2002/12,947333
(주)국도타운,029875,2003/12,991587
(주)국도타운,029875,2004/12,919076
(주)국도타운,029875,2005/12,823097
(주)국일신문사,044131,2005/12,62
(주)국제스카이웨이호텔,060817,2010/12,0
(주)국제스카이웨이호텔,060817,2011/12,30286
(주)국제스카이웨이호텔,060817,2012/12,38762
(주)국제스카이웨이호텔,060817,2013/12,33486
(주)국제스카이웨이호텔,060817,2014/12,61691
(주)국제스카이웨이호텔,060817,2015/12,56141
(주)국제스카이웨이호텔,060817,2016/12,55875
(주)국제스카이웨이호텔,060817,2017/12,113927
(주)국제영상,049844,2007/12,560466
(주)국제영상,049844,2008/12,565132
(주)국제영상,049844,2009/12,927787
(주)국제영상,049844,2010/12,737945
(주)국제영상,049844,2011/12,783379
(주)국제영상,049844,2012/12,919959
(주)국제영상,049844,2013/12,660592
(주)국제영상,049844,2014/12,468083
(주)국제영상,049844,2015/12,212284
(주)군자씨네텍,059644,2009/12,147469
(주)군자씨네텍,059644,2010/12,370454
(주)군자씨네텍,059644,2011/12,372411
(주)군자씨네텍,059644,2012/12,353168
(주)군자씨네텍,059644,2013/12,264074
(주)군자씨네텍,059644,2014/12,221394
(주)군자씨네텍,059644,2015/12,184204
(주)군자씨네텍,059644,2016/12,206141
(주)군자씨네텍,059644,2017/12,225212
(주)굿데이텔레콤,053628,2007/12,0
(주)굿데이텔레콤,053628,2008/12,0
(주)굿센,045114,2006/12,3
(주)굿센,045114,2007/12,0
(주)굿센,045114,2008/12,46575
(주)굿센,045114,2009/12,35375
(주)굿센,045114,2010/12,32000
(주)굿센,045114,2011/12,29300
(주)굿센,045114,2012/12,22983
(주)굿센,045114,2013/12,16798
(주)굿센,045114,2014/12,14098
(주)굿센,045114,2015/12,6347
(주)굿티비,030650,2002/10,0
(주)그레이트북스,084958,2017/12,128301
(주)근영전자통신,013187,2001/12,261088
(주)근영전자통신,013187,2002/12,279498
(주)근영전자통신,013187,2003/12,263586
(주)글로만,029333,2002/12,8402
(주)글로벌데이타시스템,012681,2002/12,438691
(주)글로벌데이타시스템,012681,2003/12,536537
(주)글로포스트,018209,2008/12,1363624
(주)글로포스트,018209,2009/12,435395
(주)글로포스트,018209,2010/12,67667
(주)금성출판사,013226,2001/12,961775
(주)금성출판사,013226,2002/12,752303
(주)금성출판사,013226,2003/12,263127
(주)금성출판사,013226,2004/12,47722
(주)금성출판사,013226,2005/12,8825
(주)금성출판사,013226,2006/12,3508
(주)금성출판사,013226,2007/12,0
(주)금성출판사,013226,2008/12,103781
(주)금성출판사,013226,2009/12,190237
(주)금성출판사,013226,2010/12,193048
(주)금성출판사,013226,2011/12,111760
(주)금성출판사,013226,2012/12,732
(주)금성출판사,013226,2013/12,0
(주)금성출판사,013226,2014/12,0
(주)금성출판사,013226,2015/12,0
(주)금성출판사,013226,2016/12,0
(주)금성출판사,013226,2017/12,0
(주)금송,050535,2007/12,553816
(주)금송,050535,2008/12,585323
(주)금송,050535,2009/12,413405
(주)금송,050535,2010/12,360538
(주)금송,050535,2011/12,374666
(주)금송,050535,2012/12,393305
(주)금송,050535,2013/12,283218
(주)금송,050535,2014/12,274143
(주)금송,050535,2015/12,220502
(주)금송,050535,2016/12,183663
(주)금송,050535,2017/12,196027
(주)기독교텔레비젼,043031,2006/12,935940
(주)기독교텔레비젼,043031,2007/12,950349
(주)기독교텔레비젼,043031,2008/12,1842259
(주)기독교텔레비젼,043031,2009/12,580384
(주)기독교텔레비젼,043031,2010/12,574191
(주)기독교텔레비젼,043031,2011/12,618998
(주)기독교텔레비젼,043031,2012/12,852486
(주)기독교텔레비젼,043031,2013/12,952386
(주)기독교텔레비젼,043031,2014/12,1273317
(주)기독교텔레비젼,043031,2015/12,1176342
(주)기독교텔레비젼,043031,2016/12,1076517
(주)기독교텔레비젼,043031,2017/12,1036193
(주)기탄교육,043717,2005/12,0
(주)기탄교육,043717,2006/12,0
(주)기탄교육,043717,2007/12,133564
(주)기탄교육,043717,2008/12,51861
(주)기탄교육,043717,2009/12,1206
(주)기탄교육,043717,2010/12,481
(주)기탄교육,043717,2011/12,0
(주)기탄교육,043717,2012/12,0
(주)기탄교육,043717,2013/12,0
(주)기탄교육,043717,2014/12,0
(주)기탄교육,043717,2015/12,0
(주)기탄교육,043717,2016/12,0
(주)기탄교육,043717,2017/12,0
(주)김종학프로덕션,029117,2002/12,3619
(주)김종학프로덕션,029117,2003/12,126033
(주)김종학프로덕션,029117,2004/12,242075
(주)김종학프로덕션,029117,2005/12,363529
(주)김종학프로덕션,029117,2006/12,498605
(주)김종학프로덕션,062368,2011/12,195974
(주)김종학프로덕션,062368,2012/12,690963
(주)김종학프로덕션,062368,2013/12,644075
(주)김종학프로덕션,062368,2014/12,398618
(주)나눔기술,010970,2001/12,42295
(주)나눔기술,010970,2002/12,117424
(주)나눔기술,010970,2017/12,0
(주)나라비전,029223,2002/12,214684
(주)나라소프트,080655,2016/12,33384
(주)나라소프트,080655,2017/12,74419
(주)나우콤,010663,2001/12,1163785
(주)나우콤,029103,2001/12,20200
(주)나우콤,010663,2002/12,1281529
(주)나우콤,029103,2002/12,8469
(주)나우콤,010663,2003/12,1087033
(주)나우콤,010663,2004/12,663150
(주)나우콤,010663,2005/12,212558
(주)나우콤,010663,2006/12,188347
(주)나일소프트,011953,2005/12,41035
(주)내일네트워크,013406,2001/12,156925
(주)내일네트워크,013406,2002/12,320088
(주)내일네트워크,013406,2003/12,514163
(주)내일신문,013407,2001/12,0
(주)내일신문,013407,2002/12,7977
(주)내일신문,013407,2003/12,0
(주)내일신문,013407,2004/12,0
(주)내일신문,013407,2005/12,0
(주)내일신문,013407,2006/12,0
(주)내일신문,013407,2007/12,0
(주)내일신문,013407,2008/12,0
(주)내일신문,013407,2009/12,0
(주)내일신문,013407,2010/12,0
(주)내일신문,013407,2011/12,0
(주)내일신문,013407,2012/12,0
(주)내일신문,013407,2013/12,0
(주)내일신문,013407,2014/12,245533
(주)내일신문,013407,2015/12,198102
(주)내일신문,013407,2016/12,102449
(주)내일신문,013407,2017/12,0
(주)네모이십일정보통신,011398,2001/12,350017
(주)네비웍스,068975,2013/12,297510
(주)네비웍스,068975,2014/12,168873
(주)네비웍스,068975,2015/12,420263
(주)네비웍스,068975,2016/12,567978
(주)네비웍스,068975,2017/12,834941
(주)네오로직스,012686,2001/12,89494
(주)네오로직스,012686,2002/12,176281
(주)네오싸이언,061388,2010/12,0
(주)네오싸이언,061388,2011/12,0
(주)네오싸이언,061388,2012/12,0
(주)네오싸이언,061388,2013/12,0
(주)네오싸이언,061388,2014/12,0
(주)네오엠텔,042097,2004/12,5156
(주)네오엠텔,042097,2005/12,0
(주)네오엠텔,042097,2006/12,0
(주)네오위드넷,078934,2015/12,126368
(주)네오위드넷,078934,2016/12,178894
(주)네오위드넷,078934,2017/12,219409
(주)네오위즈벅스,051113,2007/12,35771
(주)네오위즈벅스,051113,2008/12,711102
(주)네오위즈아이엔에스,060522,2011/12,959
(주)네오위즈인터넷,047812,2007/12,0
(주)네오위즈인터넷,047812,2008/12,0
(주)네오위즈인터넷,047812,2009/12,5589
(주)네오티스,064702,2011/12,0
(주)네오티스,064702,2012/12,0
(주)네오티스,064702,2013/12,1943
(주)네오티스,064702,2014/12,41980
(주)네오티스,064702,2015/12,74546
(주)네오티스,064702,2016/12,19811
(주)네오티스,064702,2017/12,0
(주)네오패드,047599,2007/03,0
(주)네오패드,047599,2008/03,11666
(주)네오패드,047599,2009/03,40000
(주)네이블커뮤니케이션즈,058841,2009/12,63671
(주)네이블커뮤니케이션즈,058841,2010/12,69428
(주)네이블커뮤니케이션즈,058841,2011/12,131374
(주)네트라인플러스,011214,2001/12,20373
(주)네트플러스,013421,2001/12,689371
(주)네트플러스,013421,2002/12,764983
(주)넥서브,044729,2005/12,204558
(주)넥서브,044729,2006/12,420516
(주)넥서브,044729,2007/12,1009195
(주)넥서스,039131,2002/12,29134
(주)넥서스,039131,2003/12,21434
(주)넥서스,039131,2004/12,153294
(주)넥서스,039131,2005/12,194085
(주)넥서스,039131,2006/12,184568
(주)넥서스,039131,2007/12,227754
(주)넥서스,039131,2008/12,275448
(주)넥서스,039131,2009/12,196006
(주)넥서스,039131,2010/12,152768
(주)넥서스,039131,2011/12,84989
(주)넥서스,039131,2012/12,26896
(주)넥서스,039131,2013/12,1458
(주)넥서스,039131,2014/12,1843
(주)넥서스,039131,2015/12,162
(주)넥서스,039131,2016/12,27243
(주)넥서스,039131,2017/12,61159
(주)넥소어,012657,2001/12,0
(주)넥소어,012657,2002/12,15655
(주)넥스밸리,039907,2002/12,0
(주)넥스밸리,039907,2003/12,2072
(주)넥스지,045063,2006/12,0
(주)넥스챌,081838,2016/12,86428
(주)넥스챌,081838,2017/12,87401
(주)넥스쳐,066879,2013/12,123508
(주)넥스트엔터테인먼트월드,060767,2010/12,204557
(주)넥스트엔터테인먼트월드,060767,2011/12,427164
(주)넥스트엔터테인먼트월드,065764,2013/12,390243
(주)넥스트플레이,058168,2009/12,252416
(주)넥스트플레이,058168,2010/12,445875
(주)넥스트플레이,058168,2011/12,327819
(주)넥스트플레이,058168,2012/12,195487
(주)넥슨모바일,045174,2006/12,25122
(주)넥슨모바일,045174,2007/12,25288
(주)넥슨모바일,045174,2008/12,23045
(주)넥슨모바일,045174,2009/12,10229
(주)넥슨모바일,045174,2010/12,0
(주)넥슨모바일,045174,2011/12,0
(주)넥슨코리아,043484,2005/12,1884187
(주)넥슨코리아,043484,2006/12,4451072
(주)넥슨코리아,043484,2007/12,2203062
(주)넥슨코리아,043484,2008/12,4564636
(주)넥슨코리아,043484,2009/12,10212111
(주)넥슨코리아,043484,2010/12,17447169
(주)넥슨코리아,043484,2011/12,6684736
(주)넥슨코리아,043484,2012/12,4938816
(주)넥슨코리아,043484,2013/12,0
(주)넥슨코리아,043484,2014/12,0
(주)넥슨코리아,043484,2015/12,0
(주)넥슨코리아,043484,2016/12,0
(주)넥슨코리아,043484,2017/12,0
(주)넷게임즈,075699,2013/12,0
(주)넷게임즈,075699,2014/12,190306
(주)넷게임즈,075699,2015/12,430416
(주)넷게임즈,075699,2016/12,11464
(주)넷브레인,029237,2002/12,37129
(주)넷브레인,029237,2003/12,32793
(주)넷브레인,029237,2004/12,21867
(주)넷츠,084918,2017/12,120707
(주)넷케이티아이,062178,2010/12,199356
(주)넷케이티아이,062178,2011/12,81872
(주)넷케이티아이,062178,2012/12,3316
(주)넷케이티아이,062178,2013/12,0
(주)넷케이티아이,062178,2014/12,0
(주)넷케이티아이,062178,2015/12,0
(주)넷케이티아이,062178,2016/12,0
(주)넷케이티아이,062178,2017/12,14941
(주)넷피아,011098,2001/12,49672
(주)넷피아,011098,2002/12,77266
(주)넷피아,011098,2003/12,17737
(주)넷피아,011098,2004/12,0
(주)넷피아,011098,2005/12,0
(주)넷피아,011098,2006/12,0
(주)넷피아,011098,2007/12,19938
(주)넷피아,011098,2008/12,66908
(주)넷피아,011098,2009/12,440403
(주)넷피아,011098,2010/12,384233
(주)넷피아,011098,2011/12,343034
(주)넷피아,011098,2012/12,123490
(주)넷피아,011098,2013/12,87675
(주)넷피아,011098,2014/12,79799
(주)넷피아,011098,2015/12,75657
(주)넷피아,011098,2016/12,65184
(주)노벨과개미,022359,2001/12,722475
(주)노벨과개미,022359,2002/12,519993
(주)노벨과개미,022359,2003/12,424790
(주)노벨과개미,022359,2004/12,166515
(주)노벨과개미,022359,2005/12,83374
(주)노벨과개미,022359,2006/12,81576
(주)노벨과개미,022359,2007/12,99719
(주)노벨과개미,022359,2008/12,71225
(주)노벨과개미,022359,2009/12,159912
(주)노벨과개미,022359,2010/12,121307
(주)노벨과개미,022359,2011/12,318443
(주)노벨과개미,022359,2012/12,509462
(주)노벨과개미,022359,2013/12,30028
(주)노벨과개미,022359,2014/12,44177
(주)노벨과개미,022359,2015/12,34568
(주)노벨과개미,022359,2016/12,10618
(주)노벨과개미,022359,2017/12,1615195
(주)노벨아이,017700,2001/12,669596
(주)노벨아이,017700,2002/12,442945
(주)노벨아이,017700,2003/12,155520
(주)노벨아이,017700,2004/12,146781
(주)노벨아이,017700,2005/12,63315
(주)노벨아이,017700,2006/12,143287
(주)노벨아이,017700,2007/12,104073
(주)노벨아이,017700,2008/12,17944
(주)노벨아이,017700,2009/12,7507
(주)노벨아이,017700,2010/12,1383
(주)노벨아이,017700,2011/12,28656
(주)노벨아이,017700,2012/12,85792
(주)노벨아이,017700,2013/12,65616
(주)노벨아이,017700,2014/12,82174
(주)노벨아이,017700,2015/12,52869
(주)노벨아이,017700,2016/12,21595
(주)노벨아이,017700,2017/12,9217
(주)노아테크놀로지,028690,2002/12,236463
(주)노아테크놀로지,028690,2003/12,347217
(주)노아테크놀로지,028690,2004/12,253282
(주)노아테크놀로지,028690,2005/12,195872
(주)노아테크놀로지,028690,2006/12,256419
(주)노아테크놀로지,028690,2007/12,327954
(주)노아테크놀로지,028690,2008/12,460943
(주)노아테크놀로지,028690,2009/12,578205
(주)노아테크놀로지,028690,2010/12,727630
(주)농협정보시스템,047862,2007/12,0
(주)농협정보시스템,047862,2008/12,0
(주)농협정보시스템,047862,2009/12,0
(주)농협정보시스템,047862,2010/12,0
(주)농협정보시스템,047862,2011/12,0
(주)농협정보시스템,047862,2012/12,0
(주)농협정보시스템,047862,2013/12,0
(주)농협정보시스템,047862,2014/12,0
(주)농협정보시스템,047862,2015/12,0
(주)농협정보시스템,047862,2016/12,0
(주)농협정보시스템,047862,2017/12,0
(주)누리솔루션,051759,2007/12,31929
(주)누리솔루션,051759,2008/12,104689
(주)누리솔루션,051759,2009/12,93489
(주)누리솔루션,051759,2010/12,110415
(주)누리솔루션,051759,2011/12,153977
(주)누리솔루션,051759,2012/12,91000
(주)누리인포스,028793,2002/12,74231
(주)누리인포스,028793,2003/12,87679
(주)누리인포스,028793,2004/12,125402
(주)누리인포스,028793,2005/12,134159
(주)누리인포스,028793,2006/12,196126
(주)누리인포스,028793,2007/12,318462
(주)누리인포스,028793,2008/12,405694
(주)누리인포스,028793,2009/12,328361
(주)누리인포스,028793,2010/12,372688
(주)누리인포스,028793,2011/12,381457
(주)누리인포스,028793,2012/12,514431
(주)누리인포스,028793,2013/12,444154
(주)누리인포스,028793,2014/12,434261
(주)누리인포스,028793,2015/12,344546
(주)누리인포스,028793,2016/12,327389
(주)누리인포스,028793,2017/12,312414
(주)뉴메디컴,011581,2001/12,69143
(주)뉴메디컴,011581,2002/12,89879
(주)뉴비지니스시스템,012343,2001/10,21724
(주)뉴비지니스시스템,012343,2002/10,31211
(주)뉴비지니스시스템,012343,2003/10,40296
(주)뉴비지니스시스템,012343,2004/10,43969
(주)뉴비지니스시스템,012343,2005/10,38643
(주)뉴비지니스시스템,012343,2006/10,48874
(주)뉴비지니스시스템,012343,2007/10,20958
(주)뉴비지니스시스템,012343,2008/10,12805
(주)뉴비지니스시스템,012343,2009/10,8691
(주)뉴비지니스시스템,012343,2010/10,11672
(주)뉴비지니스시스템,012343,2011/10,10741
(주)뉴비지니스시스템,012343,2012/10,12861
(주)뉴비지니스시스템,012343,2013/10,19347
(주)뉴비지니스시스템,012343,2014/10,14456
(주)뉴비지니스시스템,012343,2015/10,17536
(주)뉴비지니스시스템,012343,2016/10,16673
(주)뉴비지니스시스템,012343,2017/10,12712
(주)뉴시스,072936,2015/12,28
(주)뉴시스,072936,2016/12,0
(주)뉴시스,072936,2017/12,0
(주)뉴포트픽쳐스,059835,2009/12,101936
(주)뉴포트픽쳐스,059835,2010/12,13209
(주)능률교육,012675,2001/12,88442
(주)다나와,051508,2007/12,29297
(주)다나와,051508,2008/12,46132
(주)다나와,051508,2009/12,28427
(주)다날,028734,2002/12,23383
(주)다날,028734,2003/12,204491
(주)다락원,066959,2012/12,24476
(주)다락원,066959,2013/12,2100
(주)다락원,066959,2014/12,0
(주)다락원,066959,2015/12,1
(주)다락원,066959,2016/12,132
(주)다락원,066959,2017/12,18149
(주)다모임,041926,2004/12,91158
(주)다산북스,063663,2011/12,220063
(주)다산북스,063663,2012/12,332272
(주)다산북스,063663,2013/12,325760
(주)다산북스,063663,2014/12,297439
(주)다산북스,063663,2015/12,153439
(주)다산북스,063663,2016/12,69589
(주)다산북스,063663,2017/12,52214
(주)다산전자,012659,2001/12,620193
(주)다우시스템,011170,2001/12,97830
(주)다음게임,073676,2015/12,0
(주)다음핑거터치,061881,2011/12,199950
(주)다음핑거터치,061881,2012/12,329240
(주)다코스정보통신,013507,2001/12,157752
(주)다코스정보통신,013507,2002/12,138297
(주)다코스정보통신,013507,2003/12,126153
(주)다코스정보통신,013507,2004/12,80486
(주)다코스정보통신,013507,2005/12,65648
(주)다크호스,011251,2001/12,1263
(주)다크호스,011251,2002/12,516
(주)다크호스,011251,2003/12,6
(주)다크호스,011251,2004/12,0
(주)다크호스,011251,2005/12,0
(주)다크호스,011251,2006/12,3087
(주)다크호스,011251,2007/12,7102
(주)다크호스,011251,2008/12,34434
(주)다크호스,011251,2009/12,43794
(주)다크호스,011251,2010/12,108345
(주)다함,064965,2011/12,118441
(주)다함,064965,2012/12,131927
(주)대구방송,013544,2001/12,2895
(주)대구방송,013544,2002/12,10652
(주)대구방송,013544,2003/12,15918
(주)대구방송,013544,2004/12,12942
(주)대구방송,013544,2005/12,63230
(주)대구방송,013544,2006/12,52982
(주)대구방송,013544,2007/12,35685
(주)대구방송,013544,2008/12,157283
(주)대구방송,013544,2009/12,16954
(주)대구중앙케이블티비북부방송,042057,2004/12,290520
(주)대구중앙케이블티비북부방송,042057,2005/12,342055
(주)대동홀딩스,065045,2011/12,0
(주)대동홀딩스,065045,2012/12,0
(주)대동홀딩스,065045,2013/12,0
(주)대동홀딩스,065045,2014/12,120930
(주)대동홀딩스,065045,2015/12,214184
(주)대동홀딩스,065045,2016/12,96865
(주)대동홀딩스,065045,2017/12,65484
(주)대명문화공장,072939,2015/12,168436
(주)대명인포테크,012294,2002/03,136001
